Date,Min_Price,Max_Price,Average_Price
2018-06-01,110000.0,130000.0,120000.0
2018-06-04,110000.0,130000.0,120000.0
2018-06-05,110000.0,130000.0,120000.0
2018-06-06,110000.0,130000.0,120000.0
2018-06-07,110000.0,130000.0,120000.0
2018-06-08,110000.0,130000.0,120000.0
2018-06-11,110000.0,130000.0,120000.0
2018-06-12,110000.0,130000.0,120000.0
2018-06-13,110000.0,130000.0,120000.0
2018-06-14,110000.0,130000.0,120000.0
2018-06-15,110000.0,130000.0,120000.0
2018-06-18,110000.0,130000.0,120000.0
2018-06-19,110000.0,130000.0,120000.0
2018-06-20,110000.0,130000.0,120000.0
2018-06-21,110000.0,130000.0,120000.0
2018-06-22,110000.0,130000.0,120000.0
2018-06-25,110000.0,130000.0,120000.0
2018-06-26,110000.0,130000.0,120000.0
2018-06-27,110000.0,130000.0,120000.0
2018-06-28,110000.0,130000.0,120000.0
2018-06-29,110000.0,130000.0,120000.0
2018-07-02,110000.0,130000.0,120000.0
